Sample,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,Calditrichota,Campylobacterota,Chloroflexi,Cyanobacteria,Deinococcota,Desulfobacterota,Firmicutes,Fusobacteriota,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Proteobacteria,Spirochaetota,Synergistota,Verrucomicrobiota
401M02BM,0,1.6851787631010549,-2.105805913950035,1.976803392053645,0,0,0,-1.5180192490479163,-2.2111664296078613,-2.7989530945099803,-0.6948189402397729,3.7850092250080163,-2.616631537716026,0,0,0,0,7.074909953626264,-2.2111664296078613,0,-0.36533973910953055
425M03BM,0,2.1553363633877627,0,-0.19603889377571537,-4.127864526500041,0,0,0,-3.7223994183918765,0,0,6.048546727512322,-3.316934310283712,0,0,0,0,3.1593540580512602,0,0,0
427M03BM,-4.121086613092752,3.626078353427582,0,1.0117663137277528,0,0,0,0,-4.121086613092752,0,0,6.663074856314989,-2.511648700658651,0,0,0,0,2.657698284592425,0,0,-3.2047958812185966
428M03BM,0,1.0350556564723838,0,-0.8034146620160287,0,0,0,0,0,0,0,3.5190157319532283,0,0,0,0,0,-3.750656726409586,0,0,0
431M02BM,0,3.4299276333704514,-2.4806431495736896,0.5275116439788583,0,0,0,0,-3.579255438241799,0,-3.0196396503063765,6.319282384568415,-3.3561118869275894,0,0,0,0,2.1589284631317343,0,0,0
432M02BM,0,1.5553714127797553,-3.8722182894724204,-0.07224478785289712,0,0,0,0,0,0,0,5.166218074132519,-3.230364403300026,0,0,0,0,0.45323799371306706,0,0,0
434M03BM,0,3.3069006594137216,-0.06039517057275301,3.351761224879122,-2.2912363587079576,0,0,-1.8604534426155035,-1.422198511684348,0,0,5.901099952810138,0,-4.163038535609549,-3.7575734275013843,0,-2.5536006231754484,3.548734232763958,0,0,0
435M03BM,-1.7607376584914745,1.2339070673751165,-3.0053815025483384,0.5849277466680967,0,0,0,-3.0636504106723144,0,0,-0.9917371354132696,3.7834202446933167,0,0,0,0,0,3.219251648388865,0,0,0
439M04BM,0,-0.30979952256837606,0,1.7941410395997845,1.780495603702871,0,0,0,0,0,0,1.670654451075114,0,0,-3.354321960291799,0,-3.7597870683999632,4.491485542346006,0,0,-2.312868085463638
440M03BM,0,1.3977071220888657,-2.4054404255740094,1.2755129632675066,0,0,0,0,0,0,-2.2143851888113,4.6232274896757355,-4.656732224180504,0,0,0,-3.403969255685136,5.384079519218843,0,0,0
441M03BM,0,2.424864041992164,-2.8703930912592783,1.0893613169900576,0,0,0,-3.8148547001001294,-3.2758581993674425,0,0,6.036037959456701,0,0,0,0,-3.2758581993674425,3.6867008716553684,0,0,0
442M02BM,0,0.7745981152870653,-2.7462324413196346,0.4292138256212299,0,0,0,0,-4.132526802439525,0,0,6.276241026806964,0,0,0,0,-4.82567398299947,4.22438025904337,0,0,0
443M03BM,0,1.43779121159326,0,0.5587826475342359,-3.2913649541758225,0,0,0,0,-3.802190577941813,0,6.740357489250495,0,0,0,-3.5145085054900322,0,1.871132689229679,0,0,0
444M02BM,0,0.07207259894535856,-2.659163509625662,0.10994694823779394,0,0,0,0,-4.163240906401937,0,0,4.875589254991942,0,0,0,0,0,1.7647956138525025,0,0,0
447M03BM,-2.947272553487472,3.211470412093324,0,-1.242524461249047,0,0,0,-1.242524461249047,0,-2.030981821613317,-3.3527376615956364,6.826239182626637,0,0,0,0,0,3.437921845510253,0,0,-2.6595904810356914
451M03BM,0,0.8218836850456679,0,-5.062521373102153,0,0,0,0,0,0,0,2.9031785091092353,0,0,0,0,0,1.3374591789472507,0,0,0
453M02BM,-1.896998720498083,2.1497008549219423,-0.6930259161721475,3.3238074536083433,0,-2.079320277292038,0,-0.997515106940309,-1.9840100974877126,0,-0.9319178244544961,5.99205445166682,-1.6738551691838732,0,-3.2832930816179737,0,-1.3614804841417207,5.143610638450803,0,0,-1.7077567208595545
454M02BM,0,2.366574986369433,-1.8683363472451138,2.318789948427953,-3.3724137440213875,0,0,0,-1.7141856674178553,-4.065560924581333,0,6.66650027934372,0,0,0,-3.149270192707178,0,2.817901661831759,0,0,0
469M03BM,-2.801709950372294,0.8092079622719304,-3.1694347304976116,0.9322899390221115,0,0,0,0,0,0,0,4.538751394264145,0,-3.0640742148397853,0,0,0,2.7549696001515054,0,0,0
471M03BM,0,-3.263975809301737,0,0,0,0,0,0,0,0,0,2.2877462059704516,0,0,0,0,0,0.9762296033312872,0,0,0
475M02BM,0,-5.867001416773172,0,0,0,0,0,0,0,0,0,3.1193200208528475,0,0,0,0,0,2.7476813959203232,0,0,0
476M02BM,0,2.313852900844716,0.6069787637659854,3.5745592714941195,-3.3017053403966465,0,0,0,-0.19562500967379037,0,0,5.967705505156524,-2.454407480009443,-3.147554660569388,-3.9948525209565915,0,-1.243317207914643,4.1346172438276385,0,0,-2.2602514655684853
492M02BM,-3.0054366298519715,3.050175737079762,0,-0.04360590797366193,0,-1.1596099393536408,0,0,0,-0.5067366579316355,-2.158138769464768,6.6735940092874175,-1.6191422687320807,0,-1.1083166449660902,0,-1.7526736613566034,4.34764529066346,0,0,-2.7177545574001907
501M03BM,0,3.6145652531179833,-1.8407558622397189,1.5091482250348864,0,0,0,-3.786666011295032,-1.6465998477987611,0,0,5.961964361901821,0,0,-2.608011014953386,0,-3.3812009031868677,2.1775557994190757,0,0,0
502M03BM,0,-2.258087822690192,-5.456760940240874,2.6132072088189675,0,0,0,0,0,0,0,0.7154614416848801,0,0,0,0,0,4.38618011242722,0,0,0
503M03BM,0,2.6269468145513803,-2.1046644698362087,1.8615172858540854,0,0,0,0,-2.349786927869194,-4.141546397097248,0,5.267480885759152,0,0,-3.630720773331258,0,-3.4483992165373034,5.919172798506596,0,0,0
505M03BM,0,2.621396948377991,0,1.6381503461620843,-2.942271670136813,0,0,0,0,0,0,6.260204526782567,-4.040883958804923,0,0,-3.753201886353142,0,4.257489652777159,0,0,-4.040883958804923
506M02BM,0,1.9812809184732707,-0.92971012662563,2.879449243343278,0,0,0,0,-3.0091516683054653,0,-4.213124472631401,5.228724366990618,-0.9550279346099195,-1.5981646945952033,0,0,0,4.746958055538999,-2.220694307941195,0,-1.9105393796373558
508M02BM,0,0.8937167868166087,-3.262558733135982,0.288016049600774,0,0,0,-4.3611710218040916,0,0,-3.4448802899299364,3.3391241816160253,0,0,0,0,0,6.547753026836604,0,0,0
509M02BM,-3.9875324126665808,1.0623235945829563,0,2.495574938790618,0,-3.0712416807924257,0,0,0,0,-2.2827843204281555,4.577307432217009,-3.9875324126665808,0,0,0,0,6.930125475023245,0,0,-1.736240614060086
510M02BM,0,-3.618405357144037,0,-2.3433366311343704,0,0,0,0,0,0,0,4.63904854259972,0,0,0,0,0,4.056896385500072,0,0,-2.7342029398213823
511M03BM,0,-1.9576093542828499,0,0.8643596767289141,0,0,0,0,0,0,0,1.9974414754959415,0,0,0,0,-5.654787611211481,4.750595813269474,0,0,0
512M03BM,0,1.0022529127865383,-2.4069928020584457,1.2217827279857856,0,0,0,0,-3.0702870194687097,0,0,5.579038056305284,0,0,-3.9575902144696125,0,0,1.6317963389191625,0,0,0
514M02BM,0,3.330635107930604,-3.3371695014209415,1.0066359204327417,-2.6440223208609965,0,0,0,0,0,-2.489871641033738,6.967518523019961,-2.238557212752832,0,0,0,-3.3371695014209415,2.7420006261061456,0,0,0
515M02BM,0,1.0030542484828953,-3.111092941035385,0.5626728752685031,0,0,0,-2.4179457604754395,0,0,0,6.37214068591914,-2.235624203681485,0,0,-2.235624203681485,0,5.396655791552853,0,0,-3.3342364923495946
516M02BM,0,-0.8842026614856149,0,-3.3612485184096803,0,0,0,0,0,0,0,3.2086940285732055,0,0,0,0,0,1.0367571513220906,0,0,0
517M02BM,0,3.4318624415038697,-3.737230934590446,3.2356876702981046,0,0,0,0,-3.4495488621386654,-4.142696042698611,3.683946594004948,6.369809519494887,-1.7003490073294065,-3.0440837540305012,0,0,-2.063254501018775,3.6126427701478905,0,0,-2.196785893643298
518M02BM,0,2.990678221573198,-0.5661568290377943,2.819292195656222,-2.240133262609466,0,0,-2.64559837071763,-0.7866995986519463,0,0,4.424488320181959,-3.7442106593857396,0,-2.8279199275115845,0,-2.18606604133919,4.762325951841969,0,0,0
521M02BM,0,-5.823210412082561,0,1.440819730816969,0,0,0,0,0,0,0,0.876817586168924,0,0,0,0,0,3.50557309509667,0,0,0
522M02BM,0,3.383079296805131,-1.4988039302641671,2.6894724517921373,0,0,-2.9158699500508116,0,-1.4117925532745375,0,-1.9995792181766565,6.054736889735689,-2.9158699500508116,0,-3.049401342675334,-2.050872512564207,0,4.599338446280908,0,0,-0.884437627557336
523M02BM,0,1.5575614528553245,-2.005728410799645,1.1981518191081992,0,0,0,0,-3.127871196877949,0,-2.270420965026727,4.198735384469596,-1.672583964271107,0,0,0,0,2.122155880542307,0,0,0
524M03BM,0,-1.0400883949825284,0,-2.456352425793634,0,0,0,0,0,0,0,3.0347365550898004,0,0,0,0,0,0.46170426568635925,0,0,0
525M04BM,0,2.0342846375491357,0,0.3286368601398131,0,0,0,0,0,0,0,5.3482089991013835,-1.396111898805282,0,0,-2.900189295581556,-3.593336476141501,3.078696469319566,0,0,-2.900189295581556
526M03BM,0,2.1169188342797627,0,0.6934653862694438,0,0,0,0,-0.7503887211194282,0,0,3.4891482659322515,-1.6132208744688166,-2.8126378622588915,-3.505785042818837,-2.6078434496128784,-0.09253932264050668,5.0828827864379,0,0,0
528M03BM,-2.280391429526958,3.6429339188788337,-2.280391429526958,1.977992644651648,0,0,0,0,-2.6750456215309066,0,-1.3554426349096884,4.185854716303405,0,0,-1.399502624703719,-3.017990372657737,0,4.62888443191391,0,0,-1.426901598891833
530M03BM,0,1.8371700133921909,-3.5329206693468747,-0.39232440153382964,0,0,0,0,-4.420223864347777,0,0,5.305537271832387,0,0,0,0,0,1.2027616500039047,0,0,0
531M02BM,0,0.4893250920262897,0,-0.062153954516070975,0,0,0,0,0,-3.2681471535532585,0,1.6445077321827934,0,0,0,0,-1.8522939901918232,4.992490470203528,0,0,-1.9437281961514552
533M03BM,0,4.5067348143711845,-2.177162372358874,1.4363262357884512,-2.0028089852140964,0,0,-0.9731895680329377,-2.130642356723981,-2.0861905941531473,-1.0628017267226255,5.190906885321481,-1.4150223203119774,-2.6567354526207603,0,0,0,5.020949969524348,-1.9258479440779679,0,0.27548341521090514
542M02BM,0,1.2116548198069736,0,-2.8284301024411604,0,0,0,0,0,0,0,3.369951822684863,0,0,0,0,0,-1.7531765400506787,0,0,0
544M03BM,0,0.8364065415913338,0,3.631105735189264,0,0,0,0,-3.598370658468077,0,-3.4442199786408185,5.71941804815428,-2.8251807702345952,0,0,-3.087545034702086,0,2.7683861171106994,0,0,0
546M03BM,-3.7130812975822183,3.973540037362401,-1.9213218283541638,1.2380398689816294,0,0,0,0,-3.4253992251304375,0,0,6.962749631151002,-2.5091084932562824,0,0,0,0,3.1076626044102884,-3.7130812975822183,0,0
547M02BM,0,-0.594220680201885,0,-3.385385788014602,0,0,0,0,0,0,0,5.201669230570552,0,0,0,0,0,-1.2220627623540636,0,0,0
549M03BM,-5.367648032419514,0.9735927169360439,0,0.6411651530230804,0,0,0,0,0,0,0,4.947319833879566,0,0,0,0,0,2.381458891772284,0,0,-3.575888563191459
553M02BM,0,-2.9562985739525507,0,-3.328973859237724,0,0,0,0,0,0,0,1.3720928448886989,0,0,0,0,0,4.913179588301577,0,0,0
555M03BM,0,2.89632985591048,-0.6602705538953986,2.4422685573093874,0,0,-3.7870310898557937,0,-0.7912988163018024,-2.1775931774216937,0,5.8611383159186214,0.19824237731194483,0,-3.7870310898557937,-1.6122793683716332,0,3.1251145374276366,-1.707589548175958,0,0
