ASV,001M03BM,002M02BM,003M03BM,004M02BM,005M03BM,006M03BM,007M02BM,008M03BM,011M03BM,013M03BM,014M03BM,015M03BM,016M02BM,017M03BM,019M02BM,020M02BM,021M03BM,022M02BM,023M03BM,027M02BM,028M03BM,029M03BM,030M03BM,031M03BM,032M03BM,033M02BM,035M03BM,036M03BM,037M04BM,038M03BM,039M02BM,041M02BM,044M03BM,045M03BM,046M03BM,047M03BM,052M03BM,055M02BM,062M03BM,102M02BM,104M02BM,105M02BM,309M03BM,401M02BM,425M03BM,427M03BM,428M03BM,431M02BM,432M02BM,434M03BM,435M03BM,439M04BM,440M03BM,441M03BM,442M02BM,443M03BM,444M02BM,447M03BM,451M03BM,452M03BM,453M02BM,454M02BM,467M02BM,469M03BM,471M03BM,475M02BM,476M02BM,492M02BM,501M03BM,502M03BM,503M03BM,505M03BM,506M02BM,508M02BM,509M02BM,510M02BM,511M03BM,512M03BM,514M02BM,515M02BM,516M02BM,517M02BM,518M02BM,521M02BM,522M02BM,523M02BM,524M03BM,525M04BM,526M03BM,528M03BM,530M03BM,531M02BM,533M03BM,542M02BM,544M03BM,546M03BM,547M02BM,549M03BM,553M02BM,555M03BM,557M04BM,558M03BM,559M03BM,811M03BM,812M03BM,813M02BM,814M02BM,817M02BM,818M02BM,819M02BM,821M02BM,822M02BM,823M03BM,825M02BM,CN-1,CN-2,CN-3,DB01CPM02BM,DB01M03BM,DB02CP03BM,DB02CPM03BM,DB03M03BM,DB04M02BM,DB05M03BM,DB06M03BM,DB07M03BM,DB8M02BM,WM022M02BM,WM023M02BM,WM02M02BM,WM03M02BM,WM06M02BM,WM09M02BM,WM10M02BM,WM11M03BM,WM12M03BM,WM13M02BM,WM15M02BM,WM16M03BM,WM17M03BM,WM19M03BM,WM20M04BM,WM21M04BM,WM24M02BM,WM26M03BM,WM28M02BM
ASV22,0,668,20,0,386,22,16502,92,0,0,195,0,423,0,0,0,423,89,1550,0,0,0,19,5581,0,0,9,0,6,0,110,0,4,16,96,54,200,35,0,0,0,325,0,24,229,4118,8579,21,1396,466,479,0,57,26,63,12,55,552,23,0,188,272,9,196,0,0,195,67,20,0,45,301,0,0,21,0,67,81,27,26,427,126,110,0,3507,176,0,102,308,0,416,0,550,11959,14,5812,217,0,6,255,38,33,32,0,48,0,41,136,939,51,0,37,107,234,0,0,0,153,313,25,13,189,0,288,1126,1189,799,170,117,496,270,307,236,415,200,1063,0,133,298,745,31,0,0,1303,202,199
ASV23,0,261,101,0,1107,1732,0,138,0,0,0,0,372,0,291,52,640,529,700,1158,0,0,832,693,0,88,0,0,0,0,87,0,0,471,0,0,0,143,0,0,0,195,0,59,488,807,2407,2210,272,0,285,0,222,0,545,0,0,270,0,0,0,156,283,0,1420,1944,2078,121,474,0,291,2675,0,0,0,0,0,106,9790,0,601,0,0,0,0,460,1632,215,68,460,854,0,1340,247,0,1049,714,0,0,687,0,500,286,0,685,0,180,470,1493,157,0,0,187,638,0,0,0,6882,0,0,0,0,151,0,2793,1196,7912,813,313,0,962,1423,370,2139,256,333,93,205,0,114,0,0,0,2859,436,318
ASV24,110,43,6,64,0,0,0,0,0,2,16,0,0,0,0,0,0,16,0,0,0,0,0,0,47293,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,371,0,8,0,0,0,0,853,546,0,0,0,0,33,0,0,0,0,10,18,0,1950,23,0,0,0,0,0,0,57,8231,0,134,0,0,1534,0,0,748,0,0,0,0,0,0,17,0,0,0,2124,493,0,57,56,29,0,0,0,0,0,2374,178,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,19,18,0,0,0,0,162,0,0,7793,0,0,185,267,0,0,19,0,0
ASV25,0,11,115,2158,0,1554,0,42,79,94,0,0,0,0,0,0,0,8419,55,0,0,0,65,0,0,100,0,0,0,0,0,0,45,0,19,133,0,133,13350,0,0,40,32,8310,85,0,0,0,0,37,0,771,1300,34,0,0,0,0,88,0,0,0,3482,0,83,0,21,0,0,940,0,0,0,85,3467,0,4011,0,0,0,0,0,36,1359,0,0,0,132,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,993,329,47,0,0,0,49,27,13646,0,0,0,0,0,290,332,0,80,0,0,405,0,0,146,0,0,88,92,2698,0,0,0,0,0,0,252,1606,0,0,85,0
ASV26,1118,114,504,110,14,33,0,75,0,0,182,0,60,0,0,0,0,0,58,0,0,0,0,0,0,632,0,78,0,0,0,0,0,54,0,57,0,0,92,0,0,0,177,28210,0,0,0,0,0,103,0,184,0,0,0,0,0,0,219,0,0,0,147,0,0,0,0,0,97,0,0,3763,0,568,7428,0,108,0,36,6322,0,0,0,14113,277,0,0,0,35,108,68,0,0,0,0,0,0,65,502,0,0,48,103,61,121,3540,0,0,123,0,0,0,29,31,0,0,0,31,66,40,58,214,133,335,40,0,157,0,88,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,25,71
ASV27,17,29,23,0,215,73,98,311,0,44,2103,0,43,0,5,29,525,106,20,93,28,31,93,832,0,0,34,30,163,0,27,0,0,10,9,554,1081,111,0,15,0,222,212,249,1129,165,9,66,425,654,1912,11,157,86,175,31,500,649,2682,0,477,582,182,174,12,0,540,2215,247,0,50,337,22,4,5,8,0,85,774,16,21,167,217,0,188,516,1148,145,1495,253,1674,276,12408,224,22,228,31,168,0,707,28,777,66,88,3636,20,111,98,282,143,54,294,162,56,0,0,0,115,839,191,26,1802,30,4659,53,204,54,551,1176,96,113,309,455,290,59,162,0,113,88,777,101,5,19,1600,461,231
ASV28,0,0,0,0,469,0,0,0,0,0,0,0,284,0,0,0,78,0,0,0,0,11151,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,591,0,0,8360,27,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,22552,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,66,0,0,0,215,0,10710,0,0,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,265,0,0,0,0,0,2063,0,0,0,0,0,0,248,0,0,0,0,0,258,0,0,0,262,0
ASV29,17,5,0,0,71,0,0,29,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,19,0,0,0,0,0,0,0,115,7,0,0,0,0,0,0,44,0,0,0,0,120,24,55,5,26,202,0,0,25,9,0,0,0,17,0,0,0,0,139,0,27,28,12,25,41,742,0,13192,3763,327,13,12735,14,5,25,8,71,17,31,0,0,0,8,268,43,0,8,0,0,27,0,0,0,9,16,25,43,0,17,7,51,0,0,3930,53,0,0,0,0,26,79,10472,10063,780,0,112,23,8,10,14,27,24,56,584,18,0,0,5,19,0,50,178,0,512,0,0,12,81
ASV30,0,0,15,0,5402,20,0,0,0,0,0,0,54,0,37,1993,21,518,0,4423,763,0,0,0,0,213,0,364,37,0,13,0,0,0,0,0,0,136,61,0,942,1824,0,0,11,302,89,0,25,674,9,279,525,944,0,0,35,0,0,0,71,0,103,0,109,25,0,0,0,111,0,24,0,0,63,0,175,1765,3100,1019,0,575,0,39,0,0,443,9,0,0,0,0,0,0,523,450,0,349,72,0,0,0,0,178,4704,0,0,0,263,74,6161,0,0,0,0,0,0,1136,0,540,841,162,1049,0,0,5893,0,939,36,57,0,24,0,2289,1119,295,0,1497,0,50,254,0,0,2338,0,0
ASV31,0,14,160,482,0,1905,0,0,262,27,0,31,0,0,0,0,17,7360,0,0,0,0,0,0,0,25,0,0,0,0,0,0,13,0,0,36,0,44,0,0,0,0,72,6059,106,0,0,99,17,0,0,535,751,0,0,0,0,0,32,0,0,0,4434,41,604,0,0,0,0,214,3037,0,11,0,4247,0,3504,29,0,0,0,0,0,5763,15,25,0,0,10,0,0,0,0,0,0,0,0,0,392,121,0,0,0,0,0,936,191,0,0,0,0,34,0,7875,0,0,0,0,0,492,458,53,0,0,0,0,56,0,97,0,0,865,88,5202,0,52,0,64,19,67,284,637,0,54,0,0
