"Sample","Secretor","Diversity","Evenness","X2_FL","X3_FL","LNnT","X3_SL","DFLac","X6_SL","LNT","LNFP_I","LNFP_II","LNFP_III","LSTb","LSTc","DFLNT","LNH","DSLNT","FLNH","DFLNH","FDSLNH","DSLNH","SUM","Sia","Fuc"
"555",1,4.76,0.25,4964,6674.6,212.3,1094.9,534.4,1883.9,1110.8,316.8,1038.4,15.4,20.7,165.7,724.8,67.5,84.8,107,17.7,97.2,50.4,19181.4,3630.2,15767.3
"557",1,8.58,0.45,2374.7,1702.2,473.7,177.3,336,584.8,3304.2,1536.5,1510.7,79.3,114.2,214.5,1880.7,105.6,962.8,205.8,53.3,137.3,138.9,15892.6,3568.9,12086.7
"558",1,8.98,0.47,3367,1198.6,97.7,161.9,728.6,2576.3,1060.3,1264.9,499.2,73.4,38.4,358.8,592.3,186.4,389.3,685.7,633.5,282.9,897.1,15092.3,6274,11280.6
"559",0,5.57,0.29,66,3101.2,214.4,183.8,10.8,983.6,1889.4,136.7,2447.7,35.8,92.8,223.2,389.9,80.4,298.6,172.7,12,288.9,106.7,10734.8,2872.1,7074.3
"811",1,3.91,0.21,8101.1,846.1,90.6,287.5,266.9,1891.3,1431.4,3416.2,438,40,77.5,240.9,37.1,16.8,206.5,216.4,389.3,37.5,123.6,18154.5,3232.1,14481.8
"812",1,7.43,0.39,3709.7,1746.6,139.1,283.2,247.6,515.4,2105.6,2070.9,1136,48,120.9,172.4,2441.5,63,549,155.4,84.7,107,103.3,15799.2,2610.3,14521.3
"813",0,6.19,0.33,36.4,2659.9,113.2,160.5,16.6,713.6,1503.7,117.8,2127.5,44.3,68.9,141.6,336.6,119.5,316.8,244.9,14.1,796.4,244.8,9776.9,3800.4,6761.6
"814",1,8.69,0.46,4002.8,1440.9,141.7,367.9,471,1439.2,1654.5,1924,1186.8,101.7,93.4,774.8,1265.9,75.2,736.7,249,199.7,125.2,258.4,16508.9,4915.9,12903.6
"817",1,5.72,0.3,5915.7,1878.1,231.6,597,788.4,1451.5,1805.3,2749,551.2,34.7,42.6,212.8,965.7,24.8,221.6,25.6,19.3,5.9,19.9,17540.7,2798.7,14707
"818",0,6.14,0.32,29.1,2830.3,89.3,267.1,24.6,638.5,1176.3,97.4,2046.2,38.2,67.6,235.5,327.2,119.4,516.6,144.6,42.8,609.6,301.2,9601.8,4063.6,6584.8
"819",1,7.57,0.4,3339.9,697.7,150.1,281.8,391.9,1163.9,1373.3,3542.6,642.2,56.9,59.7,964.2,1529.9,55.8,711.2,161.4,190.9,32.3,211.9,15557.8,4380.5,12698.5
"821",1,4.36,0.23,6746.1,711.8,242.1,942.1,343.3,666.1,877.2,4395.4,482.8,51.3,82.4,741.6,79.3,8.1,589.3,52.2,145.1,25.9,127.4,17309.6,3917.4,13601
"822",1,8.75,0.46,3075.8,1853.5,140.2,1295.5,267.5,726.8,1738,2688.8,806.1,71.4,79.6,784.8,1757.6,38.7,686.2,98.8,56,19.7,99.4,16284.4,4497.3,12776.3
"823",1,6.83,0.36,3418.3,728.9,334.3,148.5,357.1,1525.2,2320.6,3842.6,392,78.9,124.6,378.9,1199.7,49,529,205.8,171.4,28.3,84.5,15917.6,3460.7,12151.2
"825",NA,7.77,0.41,828,1383.7,245.1,144.6,205.8,830.7,3590.2,937.2,1844.7,59.6,85.9,371.5,1832.9,85.9,605.9,316.2,70.6,224.2,176.9,13839.7,3446.8,9812.1
"DB1",0,2.89,0.15,369.6,7476.1,136.3,200.4,338.6,861,2121.9,210.3,998.7,44.8,33.9,59.7,148,36.4,50.6,204.4,18.5,108.9,20.3,13438.5,1514.6,10423.1
"DB3",1,6.75,0.36,3080.1,840,147.8,114.4,477.5,671.7,3247.5,3364.7,810.4,55.4,109,137.3,60.9,37.4,1034.1,427.5,365.8,166.9,200.4,15348.8,3835.4,10553.3
"DB4",0,6.04,0.32,54.7,1552.4,140.4,205.3,29.8,802.9,3067,173.4,1799.2,57,78.2,424.7,170.1,105.6,450.7,424.7,38,233.9,173.5,9981.4,3227.3,4770.8
"DB5",1,10.3,0.54,2560.1,1254.3,138.4,244.7,340.2,1343.8,1980.4,1535.1,776.1,73.4,149.4,229.6,1180.9,108.3,806.7,604.7,353.3,219.4,395.1,14293.9,4810,10771.7
"DB6",1,5.34,0.28,5982.2,914.3,193.8,570.2,285.1,1071.6,1616.6,2969.1,562.7,51.8,75.3,355.3,1268.9,46.3,329.8,128.4,113.2,26.3,77.7,16638.6,2940,13969.2
"DB7",1,8.45,0.45,2550,1415,249.3,395.5,254.8,1156.3,1910.5,2577.6,1020.5,31.7,86.9,326.5,2265.5,46.8,458.9,125.2,83.8,50.4,85.5,15090.7,3154.7,12978.6
"DB8",0,6.93,0.37,87.9,2144.7,139.9,239.4,32.8,822.1,2212.2,119.6,1548.4,49.3,68.6,173.9,154.1,72.6,401.3,549.9,38.2,619.2,252.6,9726.7,3850.1,5569.1
"DB1CP",1,8.73,0.46,1511.2,984,223.4,310.3,244.4,1016.2,2726.9,2934.2,1147.5,69.8,108.1,933.2,1944,42.3,704.4,174.6,94.4,53.2,155.9,15378.1,4195,11440.1
"DB2CP",1,8.42,0.44,2335,3446.9,92.1,673.9,271.1,1077.5,1860.3,846,1624,41.7,48.5,413,2062.2,78.1,530.1,272.3,63.1,208.2,133.4,16077.3,3956.3,13566.8
"W2",1,7.35,0.39,4177.3,1191,280.3,239.1,218.5,877.4,2275,1551.1,1076.5,62.8,70.2,477.1,1720.1,79.6,451.4,256,83.8,82.3,190.3,15359.8,3111.8,12441.8
"W3",1,7.45,0.39,2516.2,1856.9,410.9,463.5,318.4,729.1,4088.1,1585.9,1872.8,66.3,109.2,301.5,1535,53.3,201.8,158.6,25,59.8,43.2,16395.8,2213.1,11873.4
"W6",1,5.75,0.3,6084.7,1029.9,544.7,125.8,211.7,808.8,1808.2,1396.9,1329.9,36.1,58.5,598.2,1827.1,130.2,318.8,219.1,89.3,131,208.6,16957.5,2908.2,14483.8
"W17",0,5.62,0.3,116.4,3244.1,105.8,366.6,46.7,599.4,2359.5,158.8,1603.7,36,61.6,68.3,74,63.6,274.7,612.9,33.3,672.8,145.2,10643.4,3281.3,6752.8
"W19",1,8.09,0.43,4253.4,1674.6,158.6,191.3,354.5,1506.7,2125.8,1770,1072,121.6,59.1,339.8,1413.7,95.4,323.6,442.9,332.6,273.8,279.2,16788.6,3850,13809.9
"W20",1,6.32,0.33,5480.8,2469.9,195.2,631,520.9,778.2,1058.6,1230.3,958.6,28,40.3,200.3,1592.1,167.5,277.5,417.2,184.3,284.2,165.8,16680.5,3104.6,15463.4
"W21",1,6.53,0.34,5417.1,2358.4,449.9,498.8,296.2,793.1,1279.1,1194.1,1237.9,40.8,40.9,406.4,1626.5,168,328.8,276.5,71.7,192.1,237.8,16914.3,3256.8,14705.8
"w22",1,4.81,0.25,3729,217.3,251.6,82,167.8,1113.8,2220.7,5095.5,327.2,64.4,62.7,411.5,80.7,23.7,470.7,175.5,358.2,35.1,125.8,15013.3,2933.2,10857.4
"w23",0,4.55,0.24,64.1,806.6,225.8,339.6,19.8,1009.5,4337.3,158.3,1052.9,37.9,98,528.6,88.1,10.9,579.1,408.3,30.9,103.1,250.1,10149,3840.2,2908.8
"w28",1,6.77,0.36,2951.4,1091.2,274.6,710.9,373.7,874.7,3414.6,3646.9,668.9,65.4,72.1,403.2,753.3,34.4,414.4,110.9,71.7,15.6,30.3,15978.3,2981.6,10947.7
