"Metabolite","z6DDL","p","padj"
"Carboxylic_acids_and_derivatives_OR_Fatty_Acyls_OR_Organonitrogen_compounds_Classy",0.0847865540913754,0.36762798809687,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Fatty_Acyls_OR_Organooxygen_compounds_Classy",-0.175666438824334,0.12904619930752,0.853427351672921
"Carboxylic_acids_and_derivatives_OR_Glycerophospholipids_Classy",0.0447881322496646,0.63457964566468,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Organonitrogen_compounds_Classy",0.0784975933086089,0.404345981518664,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Organooxygen_compounds_Classy",-0.0345432030353235,0.730340606675155,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Peptidomimetics_Classy",-0.0389989313037529,0.697155028552947,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Phenols_Classy",-0.0699280449280449,0.465823555127239,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Sphingolipids_Classy",-0.0237828454193956,0.800815276467079,0.993358457441224
"Carboxylic_acids_Classy",-0.153984865064809,0.142775560506864,0.853427351672921
"Ceramides_Classy",0.000346285630968871,0.997460162286388,0.998282335677869
"Cholines_Classy",0.189633375474083,0.0442505381881269,0.853427351672921
"Cinnamic_acids_and_derivatives_Classy",0.0214285714285714,0.939577904012878,0.993358457441224
"Cyclic_depsipeptides_Classy",-0.058363881921667,0.626271014361267,0.993358457441224
"Cyclic_depsipeptides_OR_Peptides_Classy",-0.0389989313037529,0.697155028552947,0.993358457441224
"Depsipeptides_Classy",0.0157993436474449,0.889372540623339,0.993358457441224
"Diacylglycerols_Classy",-0.0137449039021549,0.891487995823703,0.993358457441224
"Dialkyl_ethers_Classy",-0.113173540164691,0.234793571609586,0.993358457441224
"Dialkyldisulfides_Classy",-0.524475524475524,0.080019375920275,0.853427351672921
"Diazines_Classy",0.0433744760130415,0.648271164130099,0.993358457441224
"Dicarboxylic_acids_and_derivatives_Classy",0.073417036719789,0.445918150093164,0.993358457441224
"Dicarboxylic_acids_and_derivatives_OR_Fatty_acid_esters_OR_Monoradylglycerols_Classy",-0.0100583495415393,0.939200644904001,0.993358457441224
"Diradylglycerols_Classy",-0.000724860519263717,0.994202023372373,0.998282335677869
"Diradylglycerols_OR_Triterpenoids_Classy",0.0516882516188714,0.730060091118333,0.993358457441224
"Disaccharides_Classy",-0.0684762881717036,0.467128856268255,0.993358457441224
"Disaccharides_OR_Glycosyl_compounds_OR_Monosaccharides_Classy",0.0135405981219916,0.885794995768628,0.993358457441224
"Diterpenoids_Classy",0.00316055625790139,0.973496200157354,0.998282335677869
"Diterpenoids_OR_Oxosteroids_Classy",-0.0020073803259644,0.98324102131534,0.998282335677869
"Eicosanoids_Classy",0.0233725242641837,0.8041822454031,0.993358457441224
"Eicosanoids_OR_Fatty_acids_and_conjugates_OR_Lineolic_acids_and_derivatives_Classy",-0.0549068668334723,0.570670900648728,0.993358457441224
"Ergoline_and_derivatives_Classy",-0.339578454332553,0.00693032255726189,0.725373760993411
"Ethers_Classy",-0.118478149451601,0.213434816576169,0.993358457441224
"Fatty_acid_esters_Classy",-0.140598121991636,0.133943434432533,0.853427351672921
"Fatty_acid_esters_OR_Fatty_alcohols_Classy",-0.0326098752034726,0.75245136747211,0.993358457441224
"Fatty_acid_esters_OR_Phenoxy_compounds_Classy",-0.0461097297245801,0.635597860894503,0.993358457441224
"Fatty_acid_methyl_esters_Classy",0.13595547309833,0.179661131778007,0.940226589638234
"Fatty_acids_and_conjugates_Classy",-0.0139903732344354,0.882028428322817,0.993358457441224
"Fatty_acids_and_conjugates_OR_Fatty_alcohols_Classy",0.108313117162675,0.255635787003312,0.993358457441224
