Assay,Well,Strain,Treatment,Replicate,Time,OD
240214,E11,Rothia 2,6'SL,2,20.5,0.108
240214,E11,Rothia 2,6'SL,2,21,0.108
240214,E11,Rothia 2,6'SL,2,21.5,0.108
240214,E11,Rothia 2,6'SL,2,22,0.109
240214,E11,Rothia 2,6'SL,2,22.5,0.109
240214,E11,Rothia 2,6'SL,2,23,0.11
240214,E11,Rothia 2,6'SL,2,23.5,0.11
240214,E11,Rothia 2,6'SL,2,24,0.111
240214,E12,Rothia 2,6'SL,3,0,0
240214,E12,Rothia 2,6'SL,3,0.5,0.002
240214,E12,Rothia 2,6'SL,3,1,0.006
240214,E12,Rothia 2,6'SL,3,1.5,0.012
240214,E12,Rothia 2,6'SL,3,2,0.018
240214,E12,Rothia 2,6'SL,3,2.5,0.024
240214,E12,Rothia 2,6'SL,3,3,0.029
240214,E12,Rothia 2,6'SL,3,3.5,0.034
240214,E12,Rothia 2,6'SL,3,4,0.039
240214,E12,Rothia 2,6'SL,3,4.5,0.042
240214,E12,Rothia 2,6'SL,3,5,0.046
240214,E12,Rothia 2,6'SL,3,5.5,0.049
240214,E12,Rothia 2,6'SL,3,6,0.052
240214,E12,Rothia 2,6'SL,3,6.5,0.052
240214,E12,Rothia 2,6'SL,3,7,0.057
240214,E12,Rothia 2,6'SL,3,7.5,0.067
240214,E12,Rothia 2,6'SL,3,8,0.073
240214,E12,Rothia 2,6'SL,3,8.5,0.079
240214,E12,Rothia 2,6'SL,3,9,0.083
240214,E12,Rothia 2,6'SL,3,9.5,0.087
240214,E12,Rothia 2,6'SL,3,10,0.091
240214,E12,Rothia 2,6'SL,3,10.5,0.094
240214,E12,Rothia 2,6'SL,3,11,0.098
240214,E12,Rothia 2,6'SL,3,11.5,0.101
240214,E12,Rothia 2,6'SL,3,12,0.104
240214,E12,Rothia 2,6'SL,3,12.5,0.107
240214,E12,Rothia 2,6'SL,3,13,0.111
240214,E12,Rothia 2,6'SL,3,13.5,0.113
240214,E12,Rothia 2,6'SL,3,14,0.115
240214,E12,Rothia 2,6'SL,3,14.5,0.118
240214,E12,Rothia 2,6'SL,3,15,0.12
240214,E12,Rothia 2,6'SL,3,15.5,0.122
240214,E12,Rothia 2,6'SL,3,16,0.123
240214,E12,Rothia 2,6'SL,3,16.5,0.125
240214,E12,Rothia 2,6'SL,3,17,0.126
240214,E12,Rothia 2,6'SL,3,17.5,0.126
240214,E12,Rothia 2,6'SL,3,18,0.127
240214,E12,Rothia 2,6'SL,3,18.5,0.128
240214,E12,Rothia 2,6'SL,3,19,0.129
240214,E12,Rothia 2,6'SL,3,19.5,0.129
240214,E12,Rothia 2,6'SL,3,20,0.13
240214,E12,Rothia 2,6'SL,3,20.5,0.131
240214,E12,Rothia 2,6'SL,3,21,0.131
240214,E12,Rothia 2,6'SL,3,21.5,0.132
240214,E12,Rothia 2,6'SL,3,22,0.132
240214,E12,Rothia 2,6'SL,3,22.5,0.133
240214,E12,Rothia 2,6'SL,3,23,0.133
240214,E12,Rothia 2,6'SL,3,23.5,0.134
240214,E12,Rothia 2,6'SL,3,24,0.134
240214,F4,Rothia 1,LSTc,1,0,0
240214,F4,Rothia 1,LSTc,1,0.5,0.001
240214,F4,Rothia 1,LSTc,1,1,0.004
240214,F4,Rothia 1,LSTc,1,1.5,0.01
240214,F4,Rothia 1,LSTc,1,2,0.015
240214,F4,Rothia 1,LSTc,1,2.5,0.02
240214,F4,Rothia 1,LSTc,1,3,0.026
240214,F4,Rothia 1,LSTc,1,3.5,0.033
240214,F4,Rothia 1,LSTc,1,4,0.038
240214,F4,Rothia 1,LSTc,1,4.5,0.042
240214,F4,Rothia 1,LSTc,1,5,0.046
240214,F4,Rothia 1,LSTc,1,5.5,0.054
240214,F4,Rothia 1,LSTc,1,6,0.059
240214,F4,Rothia 1,LSTc,1,6.5,0.066
240214,F4,Rothia 1,LSTc,1,7,0.072
240214,F4,Rothia 1,LSTc,1,7.5,0.075
240214,F4,Rothia 1,LSTc,1,8,0.08
240214,F4,Rothia 1,LSTc,1,8.5,0.083
240214,F4,Rothia 1,LSTc,1,9,0.085
240214,F4,Rothia 1,LSTc,1,9.5,0.088
240214,F4,Rothia 1,LSTc,1,10,0.09
240214,F4,Rothia 1,LSTc,1,10.5,0.091
240214,F4,Rothia 1,LSTc,1,11,0.093
240214,F4,Rothia 1,LSTc,1,11.5,0.094
240214,F4,Rothia 1,LSTc,1,12,0.096
240214,F4,Rothia 1,LSTc,1,12.5,0.098
240214,F4,Rothia 1,LSTc,1,13,0.099
240214,F4,Rothia 1,LSTc,1,13.5,0.099
240214,F4,Rothia 1,LSTc,1,14,0.1
240214,F4,Rothia 1,LSTc,1,14.5,0.101
240214,F4,Rothia 1,LSTc,1,15,0.102
240214,F4,Rothia 1,LSTc,1,15.5,0.103
240214,F4,Rothia 1,LSTc,1,16,0.104
240214,F4,Rothia 1,LSTc,1,16.5,0.105
240214,F4,Rothia 1,LSTc,1,17,0.106
240214,F4,Rothia 1,LSTc,1,17.5,0.106
240214,F4,Rothia 1,LSTc,1,18,0.108
240214,F4,Rothia 1,LSTc,1,18.5,0.108
240214,F4,Rothia 1,LSTc,1,19,0.109
240214,F4,Rothia 1,LSTc,1,19.5,0.109
240214,F4,Rothia 1,LSTc,1,20,0.11
240214,F4,Rothia 1,LSTc,1,20.5,0.11
240214,F4,Rothia 1,LSTc,1,21,0.11
240214,F4,Rothia 1,LSTc,1,21.5,0.111
240214,F4,Rothia 1,LSTc,1,22,0.111
240214,F4,Rothia 1,LSTc,1,22.5,0.111
240214,F4,Rothia 1,LSTc,1,23,0.112
240214,F4,Rothia 1,LSTc,1,23.5,0.113
240214,F4,Rothia 1,LSTc,1,24,0.114
240214,F5,Rothia 1,LSTc,2,0,0
240214,F5,Rothia 1,LSTc,2,0.5,0.001
240214,F5,Rothia 1,LSTc,2,1,0.005
240214,F5,Rothia 1,LSTc,2,1.5,0.01
240214,F5,Rothia 1,LSTc,2,2,0.015
240214,F5,Rothia 1,LSTc,2,2.5,0.021
240214,F5,Rothia 1,LSTc,2,3,0.028
240214,F5,Rothia 1,LSTc,2,3.5,0.034
240214,F5,Rothia 1,LSTc,2,4,0.039
240214,F5,Rothia 1,LSTc,2,4.5,0.043
240214,F5,Rothia 1,LSTc,2,5,0.047
240214,F5,Rothia 1,LSTc,2,5.5,0.056
240214,F5,Rothia 1,LSTc,2,6,0.061
240214,F5,Rothia 1,LSTc,2,6.5,0.066
240214,F5,Rothia 1,LSTc,2,7,0.069
240214,F5,Rothia 1,LSTc,2,7.5,0.074
240214,F5,Rothia 1,LSTc,2,8,0.078
240214,F5,Rothia 1,LSTc,2,8.5,0.086
240214,F5,Rothia 1,LSTc,2,9,0.091
240214,F5,Rothia 1,LSTc,2,9.5,0.094
240214,F5,Rothia 1,LSTc,2,10,0.096
240214,F5,Rothia 1,LSTc,2,10.5,0.098
240214,F5,Rothia 1,LSTc,2,11,0.099
240214,F5,Rothia 1,LSTc,2,11.5,0.1
240214,F5,Rothia 1,LSTc,2,12,0.101
240214,F5,Rothia 1,LSTc,2,12.5,0.102
240214,F5,Rothia 1,LSTc,2,13,0.103
240214,F5,Rothia 1,LSTc,2,13.5,0.103
240214,F5,Rothia 1,LSTc,2,14,0.104
240214,F5,Rothia 1,LSTc,2,14.5,0.105
240214,F5,Rothia 1,LSTc,2,15,0.106
240214,F5,Rothia 1,LSTc,2,15.5,0.107
240214,F5,Rothia 1,LSTc,2,16,0.107
240214,F5,Rothia 1,LSTc,2,16.5,0.108
240214,F5,Rothia 1,LSTc,2,17,0.109
240214,F5,Rothia 1,LSTc,2,17.5,0.109
240214,F5,Rothia 1,LSTc,2,18,0.109
240214,F5,Rothia 1,LSTc,2,18.5,0.11
240214,F5,Rothia 1,LSTc,2,19,0.11
240214,F5,Rothia 1,LSTc,2,19.5,0.111
240214,F5,Rothia 1,LSTc,2,20,0.111
240214,F5,Rothia 1,LSTc,2,20.5,0.112
240214,F5,Rothia 1,LSTc,2,21,0.112
240214,F5,Rothia 1,LSTc,2,21.5,0.114
240214,F5,Rothia 1,LSTc,2,22,0.114
240214,F5,Rothia 1,LSTc,2,22.5,0.116
240214,F5,Rothia 1,LSTc,2,23,0.117
240214,F5,Rothia 1,LSTc,2,23.5,0.117
240214,F5,Rothia 1,LSTc,2,24,0.119
240214,F6,Rothia 1,LSTc,3,0,0
240214,F6,Rothia 1,LSTc,3,0.5,0.001
240214,F6,Rothia 1,LSTc,3,1,0.005
240214,F6,Rothia 1,LSTc,3,1.5,0.011
240214,F6,Rothia 1,LSTc,3,2,0.017
240214,F6,Rothia 1,LSTc,3,2.5,0.023
240214,F6,Rothia 1,LSTc,3,3,0.031
240214,F6,Rothia 1,LSTc,3,3.5,0.037
240214,F6,Rothia 1,LSTc,3,4,0.042
240214,F6,Rothia 1,LSTc,3,4.5,0.046
240214,F6,Rothia 1,LSTc,3,5,0.05
240214,F6,Rothia 1,LSTc,3,5.5,0.053
240214,F6,Rothia 1,LSTc,3,6,0.062
240214,F6,Rothia 1,LSTc,3,6.5,0.065
240214,F6,Rothia 1,LSTc,3,7,0.07
240214,F6,Rothia 1,LSTc,3,7.5,0.077
240214,F6,Rothia 1,LSTc,3,8,0.08
240214,F6,Rothia 1,LSTc,3,8.5,0.082
240214,F6,Rothia 1,LSTc,3,9,0.084
240214,F6,Rothia 1,LSTc,3,9.5,0.085
240214,F6,Rothia 1,LSTc,3,10,0.086
240214,F6,Rothia 1,LSTc,3,10.5,0.087
240214,F6,Rothia 1,LSTc,3,11,0.088
240214,F6,Rothia 1,LSTc,3,11.5,0.088
240214,F6,Rothia 1,LSTc,3,12,0.089
240214,F6,Rothia 1,LSTc,3,12.5,0.089
240214,F6,Rothia 1,LSTc,3,13,0.089
240214,F6,Rothia 1,LSTc,3,13.5,0.089
240214,F6,Rothia 1,LSTc,3,14,0.089
240214,F6,Rothia 1,LSTc,3,14.5,0.089
240214,F6,Rothia 1,LSTc,3,15,0.09
240214,F6,Rothia 1,LSTc,3,15.5,0.09
240214,F6,Rothia 1,LSTc,3,16,0.09
240214,F6,Rothia 1,LSTc,3,16.5,0.09
240214,F6,Rothia 1,LSTc,3,17,0.091
240214,F6,Rothia 1,LSTc,3,17.5,0.09
240214,F6,Rothia 1,LSTc,3,18,0.09
240214,F6,Rothia 1,LSTc,3,18.5,0.091
240214,F6,Rothia 1,LSTc,3,19,0.091
240214,F6,Rothia 1,LSTc,3,19.5,0.091
240214,F6,Rothia 1,LSTc,3,20,0.091
240214,F6,Rothia 1,LSTc,3,20.5,0.091
240214,F6,Rothia 1,LSTc,3,21,0.091
240214,F6,Rothia 1,LSTc,3,21.5,0.091
240214,F6,Rothia 1,LSTc,3,22,0.091
240214,F6,Rothia 1,LSTc,3,22.5,0.091
240214,F6,Rothia 1,LSTc,3,23,0.091
240214,F6,Rothia 1,LSTc,3,23.5,0.091
240214,F6,Rothia 1,LSTc,3,24,0.092
240214,F7,Rothia 3,LSTc,1,0,0
240214,F7,Rothia 3,LSTc,1,0.5,0.002
240214,F7,Rothia 3,LSTc,1,1,0.008
240214,F7,Rothia 3,LSTc,1,1.5,0.014
240214,F7,Rothia 3,LSTc,1,2,0.021
240214,F7,Rothia 3,LSTc,1,2.5,0.027
240214,F7,Rothia 3,LSTc,1,3,0.033
240214,F7,Rothia 3,LSTc,1,3.5,0.039
240214,F7,Rothia 3,LSTc,1,4,0.044
240214,F7,Rothia 3,LSTc,1,4.5,0.048
240214,F7,Rothia 3,LSTc,1,5,0.052
240214,F7,Rothia 3,LSTc,1,5.5,0.056
240214,F7,Rothia 3,LSTc,1,6,0.059
240214,F7,Rothia 3,LSTc,1,6.5,0.062
240214,F7,Rothia 3,LSTc,1,7,0.064
240214,F7,Rothia 3,LSTc,1,7.5,0.069
240214,F7,Rothia 3,LSTc,1,8,0.07
240214,F7,Rothia 3,LSTc,1,8.5,0.073
240214,F7,Rothia 3,LSTc,1,9,0.077
240214,F7,Rothia 3,LSTc,1,9.5,0.079
240214,F7,Rothia 3,LSTc,1,10,0.082
240214,F7,Rothia 3,LSTc,1,10.5,0.083
240214,F7,Rothia 3,LSTc,1,11,0.086
240214,F7,Rothia 3,LSTc,1,11.5,0.088
240214,F7,Rothia 3,LSTc,1,12,0.09
240214,F7,Rothia 3,LSTc,1,12.5,0.091
240214,F7,Rothia 3,LSTc,1,13,0.093
240214,F7,Rothia 3,LSTc,1,13.5,0.094
240214,F7,Rothia 3,LSTc,1,14,0.096
240214,F7,Rothia 3,LSTc,1,14.5,0.098
240214,F7,Rothia 3,LSTc,1,15,0.1
240214,F7,Rothia 3,LSTc,1,15.5,0.101
240214,F7,Rothia 3,LSTc,1,16,0.102
240214,F7,Rothia 3,LSTc,1,16.5,0.103
240214,F7,Rothia 3,LSTc,1,17,0.104
240214,F7,Rothia 3,LSTc,1,17.5,0.105
240214,F7,Rothia 3,LSTc,1,18,0.106
240214,F7,Rothia 3,LSTc,1,18.5,0.106
240214,F7,Rothia 3,LSTc,1,19,0.107
240214,F7,Rothia 3,LSTc,1,19.5,0.107
240214,F7,Rothia 3,LSTc,1,20,0.108
240214,F7,Rothia 3,LSTc,1,20.5,0.109
240214,F7,Rothia 3,LSTc,1,21,0.108
240214,F7,Rothia 3,LSTc,1,21.5,0.109
240214,F7,Rothia 3,LSTc,1,22,0.108
240214,F7,Rothia 3,LSTc,1,22.5,0.109
240214,F7,Rothia 3,LSTc,1,23,0.109
240214,F7,Rothia 3,LSTc,1,23.5,0.11
240214,F7,Rothia 3,LSTc,1,24,0.111
240214,F8,Rothia 3,LSTc,2,0,0
240214,F8,Rothia 3,LSTc,2,0.5,0.001
240214,F8,Rothia 3,LSTc,2,1,0.007
240214,F8,Rothia 3,LSTc,2,1.5,0.013
240214,F8,Rothia 3,LSTc,2,2,0.021
240214,F8,Rothia 3,LSTc,2,2.5,0.028
240214,F8,Rothia 3,LSTc,2,3,0.035
240214,F8,Rothia 3,LSTc,2,3.5,0.04
240214,F8,Rothia 3,LSTc,2,4,0.045
240214,F8,Rothia 3,LSTc,2,4.5,0.05
240214,F8,Rothia 3,LSTc,2,5,0.054
240214,F8,Rothia 3,LSTc,2,5.5,0.058
240214,F8,Rothia 3,LSTc,2,6,0.062
240214,F8,Rothia 3,LSTc,2,6.5,0.064
240214,F8,Rothia 3,LSTc,2,7,0.069
240214,F8,Rothia 3,LSTc,2,7.5,0.072
240214,F8,Rothia 3,LSTc,2,8,0.074
240214,F8,Rothia 3,LSTc,2,8.5,0.076
240214,F8,Rothia 3,LSTc,2,9,0.079
240214,F8,Rothia 3,LSTc,2,9.5,0.082
240214,F8,Rothia 3,LSTc,2,10,0.085
240214,F8,Rothia 3,LSTc,2,10.5,0.087
240214,F8,Rothia 3,LSTc,2,11,0.09
240214,F8,Rothia 3,LSTc,2,11.5,0.093
240214,F8,Rothia 3,LSTc,2,12,0.095
240214,F8,Rothia 3,LSTc,2,12.5,0.097
240214,F8,Rothia 3,LSTc,2,13,0.099
240214,F8,Rothia 3,LSTc,2,13.5,0.1
240214,F8,Rothia 3,LSTc,2,14,0.102
240214,F8,Rothia 3,LSTc,2,14.5,0.103
240214,F8,Rothia 3,LSTc,2,15,0.104
240214,F8,Rothia 3,LSTc,2,15.5,0.105
240214,F8,Rothia 3,LSTc,2,16,0.106
240214,F8,Rothia 3,LSTc,2,16.5,0.107
240214,F8,Rothia 3,LSTc,2,17,0.108
240214,F8,Rothia 3,LSTc,2,17.5,0.109
240214,F8,Rothia 3,LSTc,2,18,0.11
240214,F8,Rothia 3,LSTc,2,18.5,0.11
240214,F8,Rothia 3,LSTc,2,19,0.111
240214,F8,Rothia 3,LSTc,2,19.5,0.112
240214,F8,Rothia 3,LSTc,2,20,0.113
240214,F8,Rothia 3,LSTc,2,20.5,0.113
240214,F8,Rothia 3,LSTc,2,21,0.113
240214,F8,Rothia 3,LSTc,2,21.5,0.114
240214,F8,Rothia 3,LSTc,2,22,0.114
240214,F8,Rothia 3,LSTc,2,22.5,0.115
240214,F8,Rothia 3,LSTc,2,23,0.118
240214,F8,Rothia 3,LSTc,2,23.5,0.118
240214,F8,Rothia 3,LSTc,2,24,0.119
240214,F9,Rothia 3,LSTc,3,0,0
240214,F9,Rothia 3,LSTc,3,0.5,0.002
240214,F9,Rothia 3,LSTc,3,1,0.007
240214,F9,Rothia 3,LSTc,3,1.5,0.013
240214,F9,Rothia 3,LSTc,3,2,0.02
240214,F9,Rothia 3,LSTc,3,2.5,0.026
240214,F9,Rothia 3,LSTc,3,3,0.033
240214,F9,Rothia 3,LSTc,3,3.5,0.039
240214,F9,Rothia 3,LSTc,3,4,0.044
240214,F9,Rothia 3,LSTc,3,4.5,0.048
240214,F9,Rothia 3,LSTc,3,5,0.052
240214,F9,Rothia 3,LSTc,3,5.5,0.056
240214,F9,Rothia 3,LSTc,3,6,0.059
240214,F9,Rothia 3,LSTc,3,6.5,0.063
240214,F9,Rothia 3,LSTc,3,7,0.062
240214,F9,Rothia 3,LSTc,3,7.5,0.064
240214,F9,Rothia 3,LSTc,3,8,0.069
240214,F9,Rothia 3,LSTc,3,8.5,0.073
240214,F9,Rothia 3,LSTc,3,9,0.076
240214,F9,Rothia 3,LSTc,3,9.5,0.079
240214,F9,Rothia 3,LSTc,3,10,0.081
240214,F9,Rothia 3,LSTc,3,10.5,0.083
240214,F9,Rothia 3,LSTc,3,11,0.086
240214,F9,Rothia 3,LSTc,3,11.5,0.088
240214,F9,Rothia 3,LSTc,3,12,0.091
240214,F9,Rothia 3,LSTc,3,12.5,0.092
240214,F9,Rothia 3,LSTc,3,13,0.094
240214,F9,Rothia 3,LSTc,3,13.5,0.095
240214,F9,Rothia 3,LSTc,3,14,0.097
240214,F9,Rothia 3,LSTc,3,14.5,0.098
240214,F9,Rothia 3,LSTc,3,15,0.1
240214,F9,Rothia 3,LSTc,3,15.5,0.101
240214,F9,Rothia 3,LSTc,3,16,0.102
240214,F9,Rothia 3,LSTc,3,16.5,0.104
240214,F9,Rothia 3,LSTc,3,17,0.104
240214,F9,Rothia 3,LSTc,3,17.5,0.105
240214,F9,Rothia 3,LSTc,3,18,0.105
240214,F9,Rothia 3,LSTc,3,18.5,0.105
240214,F9,Rothia 3,LSTc,3,19,0.107
240214,F9,Rothia 3,LSTc,3,19.5,0.107
240214,F9,Rothia 3,LSTc,3,20,0.107
240214,F9,Rothia 3,LSTc,3,20.5,0.108
240214,F9,Rothia 3,LSTc,3,21,0.108
240214,F9,Rothia 3,LSTc,3,21.5,0.109
240214,F9,Rothia 3,LSTc,3,22,0.11
240214,F9,Rothia 3,LSTc,3,22.5,0.11
240214,F9,Rothia 3,LSTc,3,23,0.111
240214,F9,Rothia 3,LSTc,3,23.5,0.112
240214,F9,Rothia 3,LSTc,3,24,0.113
240214,F10,Rothia 2,LSTc,1,0,0
240214,F10,Rothia 2,LSTc,1,0.5,0.001
240214,F10,Rothia 2,LSTc,1,1,0.005
240214,F10,Rothia 2,LSTc,1,1.5,0.011
240214,F10,Rothia 2,LSTc,1,2,0.017
240214,F10,Rothia 2,LSTc,1,2.5,0.023
240214,F10,Rothia 2,LSTc,1,3,0.028
240214,F10,Rothia 2,LSTc,1,3.5,0.033
240214,F10,Rothia 2,LSTc,1,4,0.037
240214,F10,Rothia 2,LSTc,1,4.5,0.04
240214,F10,Rothia 2,LSTc,1,5,0.043
240214,F10,Rothia 2,LSTc,1,5.5,0.046
240214,F10,Rothia 2,LSTc,1,6,0.052
240214,F10,Rothia 2,LSTc,1,6.5,0.058
240214,F10,Rothia 2,LSTc,1,7,0.059
240214,F10,Rothia 2,LSTc,1,7.5,0.061
240214,F10,Rothia 2,LSTc,1,8,0.064
240214,F10,Rothia 2,LSTc,1,8.5,0.067
240214,F10,Rothia 2,LSTc,1,9,0.069
240214,F10,Rothia 2,LSTc,1,9.5,0.071
240214,F10,Rothia 2,LSTc,1,10,0.073
240214,F10,Rothia 2,LSTc,1,10.5,0.075
240214,F10,Rothia 2,LSTc,1,11,0.077
240214,F10,Rothia 2,LSTc,1,11.5,0.079
240214,F10,Rothia 2,LSTc,1,12,0.08
240214,F10,Rothia 2,LSTc,1,12.5,0.082
240214,F10,Rothia 2,LSTc,1,13,0.083
240214,F10,Rothia 2,LSTc,1,13.5,0.085
240214,F10,Rothia 2,LSTc,1,14,0.085
240214,F10,Rothia 2,LSTc,1,14.5,0.087
240214,F10,Rothia 2,LSTc,1,15,0.088
240214,F10,Rothia 2,LSTc,1,15.5,0.089
240214,F10,Rothia 2,LSTc,1,16,0.091
240214,F10,Rothia 2,LSTc,1,16.5,0.091
240214,F10,Rothia 2,LSTc,1,17,0.092
240214,F10,Rothia 2,LSTc,1,17.5,0.093
240214,F10,Rothia 2,LSTc,1,18,0.094
240214,F10,Rothia 2,LSTc,1,18.5,0.095
240214,F10,Rothia 2,LSTc,1,19,0.095
240214,F10,Rothia 2,LSTc,1,19.5,0.095
240214,F10,Rothia 2,LSTc,1,20,0.096
240214,F10,Rothia 2,LSTc,1,20.5,0.096
240214,F10,Rothia 2,LSTc,1,21,0.097
240214,F10,Rothia 2,LSTc,1,21.5,0.097
240214,F10,Rothia 2,LSTc,1,22,0.097
240214,F10,Rothia 2,LSTc,1,22.5,0.098
240214,F10,Rothia 2,LSTc,1,23,0.099
240214,F10,Rothia 2,LSTc,1,23.5,0.098
240214,F10,Rothia 2,LSTc,1,24,0.099
240214,F11,Rothia 2,LSTc,2,0,0
240214,F11,Rothia 2,LSTc,2,0.5,0.002
240214,F11,Rothia 2,LSTc,2,1,0.007
240214,F11,Rothia 2,LSTc,2,1.5,0.013
240214,F11,Rothia 2,LSTc,2,2,0.019
240214,F11,Rothia 2,LSTc,2,2.5,0.025
240214,F11,Rothia 2,LSTc,2,3,0.03
240214,F11,Rothia 2,LSTc,2,3.5,0.035
240214,F11,Rothia 2,LSTc,2,4,0.039
240214,F11,Rothia 2,LSTc,2,4.5,0.042
240214,F11,Rothia 2,LSTc,2,5,0.045
240214,F11,Rothia 2,LSTc,2,5.5,0.048
240214,F11,Rothia 2,LSTc,2,6,0.05
240214,F11,Rothia 2,LSTc,2,6.5,0.053
240214,F11,Rothia 2,LSTc,2,7,0.056
240214,F11,Rothia 2,LSTc,2,7.5,0.061
240214,F11,Rothia 2,LSTc,2,8,0.063
240214,F11,Rothia 2,LSTc,2,8.5,0.069
240214,F11,Rothia 2,LSTc,2,9,0.074
240214,F11,Rothia 2,LSTc,2,9.5,0.076
240214,F11,Rothia 2,LSTc,2,10,0.078
240214,F11,Rothia 2,LSTc,2,10.5,0.08
240214,F11,Rothia 2,LSTc,2,11,0.081
240214,F11,Rothia 2,LSTc,2,11.5,0.082
240214,F11,Rothia 2,LSTc,2,12,0.083
240214,F11,Rothia 2,LSTc,2,12.5,0.085
240214,F11,Rothia 2,LSTc,2,13,0.086
240214,F11,Rothia 2,LSTc,2,13.5,0.088
240214,F11,Rothia 2,LSTc,2,14,0.089
240214,F11,Rothia 2,LSTc,2,14.5,0.091
240214,F11,Rothia 2,LSTc,2,15,0.092
240214,F11,Rothia 2,LSTc,2,15.5,0.093
240214,F11,Rothia 2,LSTc,2,16,0.094
240214,F11,Rothia 2,LSTc,2,16.5,0.095
240214,F11,Rothia 2,LSTc,2,17,0.096
240214,F11,Rothia 2,LSTc,2,17.5,0.097
240214,F11,Rothia 2,LSTc,2,18,0.098
240214,F11,Rothia 2,LSTc,2,18.5,0.099
240214,F11,Rothia 2,LSTc,2,19,0.099
240214,F11,Rothia 2,LSTc,2,19.5,0.1
240214,F11,Rothia 2,LSTc,2,20,0.101
240214,F11,Rothia 2,LSTc,2,20.5,0.101
240214,F11,Rothia 2,LSTc,2,21,0.101
240214,F11,Rothia 2,LSTc,2,21.5,0.102
240214,F11,Rothia 2,LSTc,2,22,0.102
240214,F11,Rothia 2,LSTc,2,22.5,0.103
240214,F11,Rothia 2,LSTc,2,23,0.103
240214,F11,Rothia 2,LSTc,2,23.5,0.103
240214,F11,Rothia 2,LSTc,2,24,0.104
240214,F12,Rothia 2,LSTc,3,0,0
240214,F12,Rothia 2,LSTc,3,0.5,0.001
240214,F12,Rothia 2,LSTc,3,1,0.004
240214,F12,Rothia 2,LSTc,3,1.5,0.009
240214,F12,Rothia 2,LSTc,3,2,0.015
240214,F12,Rothia 2,LSTc,3,2.5,0.021
240214,F12,Rothia 2,LSTc,3,3,0.026
240214,F12,Rothia 2,LSTc,3,3.5,0.032
240214,F12,Rothia 2,LSTc,3,4,0.036
240214,F12,Rothia 2,LSTc,3,4.5,0.04
240214,F12,Rothia 2,LSTc,3,5,0.044
240214,F12,Rothia 2,LSTc,3,5.5,0.046
240214,F12,Rothia 2,LSTc,3,6,0.049
240214,F12,Rothia 2,LSTc,3,6.5,0.054
240214,F12,Rothia 2,LSTc,3,7,0.059
240214,F12,Rothia 2,LSTc,3,7.5,0.066
240214,F12,Rothia 2,LSTc,3,8,0.069
240214,F12,Rothia 2,LSTc,3,8.5,0.073
240214,F12,Rothia 2,LSTc,3,9,0.077
240214,F12,Rothia 2,LSTc,3,9.5,0.08
240214,F12,Rothia 2,LSTc,3,10,0.083
240214,F12,Rothia 2,LSTc,3,10.5,0.087
240214,F12,Rothia 2,LSTc,3,11,0.09
240214,F12,Rothia 2,LSTc,3,11.5,0.093
240214,F12,Rothia 2,LSTc,3,12,0.097
240214,F12,Rothia 2,LSTc,3,12.5,0.101
240214,F12,Rothia 2,LSTc,3,13,0.104
240214,F12,Rothia 2,LSTc,3,13.5,0.106
240214,F12,Rothia 2,LSTc,3,14,0.109
240214,F12,Rothia 2,LSTc,3,14.5,0.111
240214,F12,Rothia 2,LSTc,3,15,0.113
240214,F12,Rothia 2,LSTc,3,15.5,0.115
240214,F12,Rothia 2,LSTc,3,16,0.116
240214,F12,Rothia 2,LSTc,3,16.5,0.118
240214,F12,Rothia 2,LSTc,3,17,0.119
240214,F12,Rothia 2,LSTc,3,17.5,0.119
240214,F12,Rothia 2,LSTc,3,18,0.121
240214,F12,Rothia 2,LSTc,3,18.5,0.121
240214,F12,Rothia 2,LSTc,3,19,0.122
240214,F12,Rothia 2,LSTc,3,19.5,0.122
240214,F12,Rothia 2,LSTc,3,20,0.124
240214,F12,Rothia 2,LSTc,3,20.5,0.124
240214,F12,Rothia 2,LSTc,3,21,0.124
240214,F12,Rothia 2,LSTc,3,21.5,0.124
240214,F12,Rothia 2,LSTc,3,22,0.125
240214,F12,Rothia 2,LSTc,3,22.5,0.126
240214,F12,Rothia 2,LSTc,3,23,0.127
240214,F12,Rothia 2,LSTc,3,23.5,0.128
240214,F12,Rothia 2,LSTc,3,24,0.128
240219,A4,Rothia 1,No treatment,1,0,0
240219,A4,Rothia 1,No treatment,1,0.5,0.004
240219,A4,Rothia 1,No treatment,1,1,0.009
240219,A4,Rothia 1,No treatment,1,1.5,0.014
240219,A4,Rothia 1,No treatment,1,2,0.019
240219,A4,Rothia 1,No treatment,1,2.5,0.026
240219,A4,Rothia 1,No treatment,1,3,0.032
240219,A4,Rothia 1,No treatment,1,3.5,0.036
240219,A4,Rothia 1,No treatment,1,4,0.041
240219,A4,Rothia 1,No treatment,1,4.5,0.045
240219,A4,Rothia 1,No treatment,1,5,0.048
240219,A4,Rothia 1,No treatment,1,5.5,0.051
240219,A4,Rothia 1,No treatment,1,6,0.053
240219,A4,Rothia 1,No treatment,1,6.5,0.055
240219,A4,Rothia 1,No treatment,1,7,0.056
240219,A4,Rothia 1,No treatment,1,7.5,0.06
240219,A4,Rothia 1,No treatment,1,8,0.067
240219,A4,Rothia 1,No treatment,1,8.5,0.076
240219,A4,Rothia 1,No treatment,1,9,0.083
240219,A4,Rothia 1,No treatment,1,9.5,0.088
