Assay,Well,Strain,Treatment,Replicate,Time,OD
240214,A4,Rothia 1,No treatment,1,22.5,0.168
240214,A4,Rothia 1,No treatment,1,23,0.169
240214,A4,Rothia 1,No treatment,1,23.5,0.169
240214,A4,Rothia 1,No treatment,1,24,0.171
240214,A5,Rothia 1,No treatment,2,0,0
240214,A5,Rothia 1,No treatment,2,0.5,0.001
240214,A5,Rothia 1,No treatment,2,1,0.004
240214,A5,Rothia 1,No treatment,2,1.5,0.01
240214,A5,Rothia 1,No treatment,2,2,0.014
240214,A5,Rothia 1,No treatment,2,2.5,0.02
240214,A5,Rothia 1,No treatment,2,3,0.027
240214,A5,Rothia 1,No treatment,2,3.5,0.033
240214,A5,Rothia 1,No treatment,2,4,0.038
240214,A5,Rothia 1,No treatment,2,4.5,0.043
240214,A5,Rothia 1,No treatment,2,5,0.047
240214,A5,Rothia 1,No treatment,2,5.5,0.05
240214,A5,Rothia 1,No treatment,2,6,0.053
240214,A5,Rothia 1,No treatment,2,6.5,0.059
240214,A5,Rothia 1,No treatment,2,7,0.076
240214,A5,Rothia 1,No treatment,2,7.5,0.09
240214,A5,Rothia 1,No treatment,2,8,0.098
240214,A5,Rothia 1,No treatment,2,8.5,0.103
240214,A5,Rothia 1,No treatment,2,9,0.107
240214,A5,Rothia 1,No treatment,2,9.5,0.111
240214,A5,Rothia 1,No treatment,2,10,0.117
240214,A5,Rothia 1,No treatment,2,10.5,0.122
240214,A5,Rothia 1,No treatment,2,11,0.126
240214,A5,Rothia 1,No treatment,2,11.5,0.13
240214,A5,Rothia 1,No treatment,2,12,0.134
240214,A5,Rothia 1,No treatment,2,12.5,0.137
240214,A5,Rothia 1,No treatment,2,13,0.14
240214,A5,Rothia 1,No treatment,2,13.5,0.142
240214,A5,Rothia 1,No treatment,2,14,0.144
240214,A5,Rothia 1,No treatment,2,14.5,0.146
240214,A5,Rothia 1,No treatment,2,15,0.148
240214,A5,Rothia 1,No treatment,2,15.5,0.15
240214,A5,Rothia 1,No treatment,2,16,0.151
240214,A5,Rothia 1,No treatment,2,16.5,0.152
240214,A5,Rothia 1,No treatment,2,17,0.154
240214,A5,Rothia 1,No treatment,2,17.5,0.154
240214,A5,Rothia 1,No treatment,2,18,0.156
240214,A5,Rothia 1,No treatment,2,18.5,0.157
240214,A5,Rothia 1,No treatment,2,19,0.157
240214,A5,Rothia 1,No treatment,2,19.5,0.158
240214,A5,Rothia 1,No treatment,2,20,0.158
240214,A5,Rothia 1,No treatment,2,20.5,0.159
240214,A5,Rothia 1,No treatment,2,21,0.16
240214,A5,Rothia 1,No treatment,2,21.5,0.16
240214,A5,Rothia 1,No treatment,2,22,0.161
240214,A5,Rothia 1,No treatment,2,22.5,0.162
240214,A5,Rothia 1,No treatment,2,23,0.163
240214,A5,Rothia 1,No treatment,2,23.5,0.163
240214,A5,Rothia 1,No treatment,2,24,0.164
240214,A6,Rothia 1,No treatment,3,0,0
240214,A6,Rothia 1,No treatment,3,0.5,0
240214,A6,Rothia 1,No treatment,3,1,0.004
240214,A6,Rothia 1,No treatment,3,1.5,0.01
