"Sample","Secretor","Diversity","Evenness","X2_FL","X3_FL","LNnT","X3_SL","DFLac","X6_SL","LNT","LNFP_I","LNFP_II","LNFP_III","LSTb","LSTc","DFLNT","LNH","DSLNT","FLNH","DFLNH","FDSLNH","DSLNH","SUM","Sia","Fuc"
"14HM292.M",1,4.99,0.26,5618.4,905.8,51.2,4430.3,1582.7,121.2,391.1,177.3,1123.9,96,87,16,1964.6,55.6,440.8,20.4,8.9,198.3,28.4,17318.1,5989.7,15252.7
"14HM293.M",1,6.51,0.34,1554.2,263.6,327.6,532.5,762.3,179.4,3333.3,454.1,3108.1,93.2,160.5,37.8,851.9,67.8,624.4,105.1,12.5,417.4,77.1,12962.7,3148,9249
"14HM294.M",NA,6.63,0.35,784.5,443.5,270.8,230.2,1037,252.9,1903.7,297.7,3481.7,101.6,190.1,33.6,1016.8,58.4,696.7,76.9,18.3,481.8,60.6,11436.8,3185.1,9812
"14HM295.M",1,4.19,0.22,7320.4,661.2,108.5,3270.2,1669.2,30.5,479.7,306.2,683.8,97,80.8,12,1711.9,40.1,729.1,18.7,12.4,112.6,7.3,17351.7,5091.6,15987.1
"14HM296.M",1,5.34,0.28,5389.9,447.2,123.1,1678.9,880,62.4,1013,453.3,1662.6,73.6,108.6,13.4,2130.6,56.2,592.3,27.2,7.3,207.5,10.8,14937.9,3484.6,14297
"14HM297.M",1,4.66,0.25,7003.2,405.3,431.3,1084.6,618.4,102.4,1629.4,712.9,2075,59.1,104,33,1934.9,70.2,503.6,31.9,8.2,219.8,31,17058.2,2832.8,15630.1
"14HM298.M",1,8.64,0.46,2474.3,196.1,559.2,634.2,1740.2,117.9,1924.6,774,1722.3,131.2,202.2,5.3,2062.5,69.7,1481.8,18.5,16.2,187.3,3.5,14321,4305,13141.5
"14HM299.M",1,4.24,0.22,7009.1,268.4,516,917.9,368,247.5,1217.8,941.6,1473.1,61.2,86.7,116.1,1536.4,70.4,303.6,100.2,36.5,264.9,99.8,15635.3,2704.8,14000.4
"14HM300.M",1,4.28,0.23,7189.6,273.5,263.9,747.9,793.4,122.9,1688.9,1120.6,1147.5,68,171.3,39.2,1607.7,38.2,693.2,60.9,45.7,145.7,19.1,16237.2,2797.2,14899.6
"14HM301.M",1,2.9,0.15,10425.1,607.3,141.3,2144.6,1056.7,154.2,397.7,757.5,604.6,87.5,54,15.7,1684.1,27.8,280.1,15.7,33.2,75.7,12.3,18574.9,3104.5,18121.4
"14HM302.M",1,5.15,0.27,5449.5,330.5,404.8,918.1,477.8,181.2,1120.2,322.3,1670.4,84.4,60,40.2,1515.5,151.9,273.1,206.9,38.4,694.8,73.6,14013.6,3282.5,12822.1
"14HM303.M",1,4.38,0.23,6337.7,157.8,647,119.2,433.3,407.2,1777.8,3758.8,582.2,73.4,127.6,130.4,305,24.9,531.2,72.8,394,84.8,131.3,16096.3,2279,13332
"14HM304.M",1,8.1,0.43,3765.3,219.8,917.8,636,307.2,1040,1746.7,1170.8,1237.2,68.3,122.5,281.6,2105.2,62.8,683.9,60.6,65.4,146,357.5,14994.5,4454.8,11623.5
"14HM305.M",1,3.82,0.2,8368.3,819,310.9,2832.3,1161.3,108.5,405.7,246.3,1671.6,48.2,30.1,60.1,1325.8,36.7,294.5,27.2,6.1,262.9,25.8,18041.5,4197.4,16430.2
"14HM306.M",1,7.67,0.4,1932,407.3,294.8,408,1260.9,274.2,1437.4,316.6,3032.5,110,166.7,34.6,1050.3,50.4,539.6,60.9,14.7,604,70.1,12065,3310.8,11115.2
"14HM307.M",NA,5.48,0.29,253.9,43.4,818.4,58.9,69.5,532.8,3267.9,146.3,1599.7,181.5,97.4,187.5,176.6,130.9,597.7,201.1,24.3,446.5,255.7,9090.1,3476.5,3413.3
"14HM308.M",NA,8.23,0.43,780.3,491.5,214.6,1077.9,1262.3,76.9,756.4,208.4,2502.8,94.9,187.2,17.8,1695.5,69.6,835.4,154.5,15.7,395.1,28.7,10865.5,3878.1,10574.4
"14HM309.M",1,4.03,0.21,7362,329.5,414.6,832.4,527.4,76,1337.4,1283.8,1025.1,69.7,108.3,18.4,1786,58.6,508.3,48.6,41,153.8,8.3,15989.1,2375.8,14981.3
"14HM310.M",1,4.38,0.23,7301.1,381.2,503,1111.6,799,85.1,1089.9,977.8,1581,68,128.9,24.7,1938.5,32.5,507.7,14,14.4,202.9,22.5,16783.7,2816.5,16029.7
