"Metabolite","z6DDL","p","padj"
"Dithiocarbamic_acids_and_derivatives_Classy",0.0156394550688521,0.782855283632362,0.92868126783839
"Eicosanoids_Classy",-0.00725829761875024,0.893452704588756,0.974846187374336
"Ethers_Classy",0.114092201787697,0.0336220457905285,0.167701868943637
"Fatty_acid_esters_Classy",-0.0586725594075245,0.275737725177849,0.606622995391267
"Fatty_acid_methyl_esters_Classy",-0.178502012943209,0.0009634729533885,0.0155440303146678
"Fatty_acids_and_conjugates_Classy",-0.0560089930547378,0.298161457755525,0.617305318307739
"Fatty_acyl_glycosides_Classy",-0.0273493752365875,0.611650346006546,0.845525532714173
"Fatty_acyl_glycosides_of_mono__and_disaccharides_Classy",-0.0927851070050589,0.0843684066064152,0.283571588871562
"Fatty_Acyls_Classy",-0.0509561439233408,0.343945767499643,0.669681852071874
"Fatty_alcohol_esters_Classy",-0.023962240907455,0.662585116479639,0.874945962811773
"Fatty_alcohols_Classy",0.0742684395670932,0.168086647246926,0.446999655316002
"Fatty_amides_Classy",-0.0153995148483628,0.774998333994376,0.92868126783839
"Flavins_Classy",0.0221209816812772,0.687984007857816,0.882130605843655
"Flavonoids_Classy",0.223344252955419,0.0146220647294042,0.0982927684587726
"Glycero_3_phospho_N_acyl_ethanolamines_Classy",-0.290611028315946,0.00116530545984173,0.0176252450801061
"Glycerolipids_Classy",0.00353208313635656,0.947729557865369,0.997359412456858
"Glycerophosphates_Classy",0.103701018841415,0.0536103091208457,0.232004343892427
"Glycerophosphocholines_Classy",-0.0233770023418935,0.66432233290662,0.874945962811773
"Glycerophosphoethanolamines_Classy",-0.0363376658197464,0.507444893826219,0.767510401912157
"Glycerophosphoinositols_Classy",0.0216589481379725,0.688936712828309,0.882130605843655
"Glycerophospholipids_Classy",-0.00944368398166694,0.860855310624972,0.964057501430234
"Glycerophosphoserines_Classy",-0.095739954646621,0.0753202841770211,0.271581994474396
"Glycosphingolipids_Classy",0.107462893234162,0.0912824784734756,0.302607668364125
"Glycosyl_compounds_Classy",-0.085052895084666,0.113761482688861,0.352952292444927
"Guanidines_Classy",-0.0179145947007839,0.739485706213294,0.899274074892548
"Heteroaromatic_compounds_Classy",0.00291831978764994,0.956802722036491,0.998943968100791
"Hexacarboxylic_acids_and_derivatives_Classy",0.168090309497126,0.0182222682420234,0.113071510629992
"Hydrolyzable_tannins_Classy",0.0770109388041998,0.439412097168077,0.72834059941558
"Hydropyrimidines_Classy",0.0555613086100891,0.348303457068914,0.669681852071874
"Hydroquinolines_Classy",0.186881261445552,0.000512680474031413,0.0137854083017335
"Hydroquinolones_Classy",-0.222173554338858,0.0015672881944111,0.0210713190581937
"Hydroxy_acids_and_derivatives_Classy",-0.0989999994255841,0.0654694620949412,0.259731308638947
"Hydroxy_bile_acids__alcohols_and_derivatives_Classy",-0.103700253029112,0.0743561995573381,0.271581994474396
"Hydroxysteroids_Classy",-0.0117162839823381,0.829324470972919,0.951018981070718
"Imidazoles_Classy",-0.114783621440655,0.040796694160961,0.189861538210626
"Imidazopyrimidines_Classy",0.033707310516443,0.533832656157329,0.782954562364082
"Imidolactams_Classy",0.216549460853258,0.0536869556114707,0.232004343892427
