Metabolite,Genera,Microbe_Metabolite_cor,p,padj,Microbe_HMO_cor,Direction
X10833,Haemophilus,-0.1833288172334372,0.04413806976896506,0.4638630103809586,-0.15513743514246217,-1
X10904,Haemophilus,-0.2684422529342315,0.0030320454997561086,0.24308341920901833,-0.15513743514246217,-1
X11405,Haemophilus,0.17695934810474273,0.045692194690317045,0.4659009662125814,-0.15513743514246217,1
X11889,Haemophilus,-0.21842958300550747,0.01480145708759184,0.3394348212931845,-0.15513743514246217,-1
X11892,Haemophilus,-0.22496601987251594,0.010995097727018788,0.3294163403568749,-0.15513743514246217,-1
X11984,Haemophilus,0.254018954018954,0.007140116919315931,0.32051845984061506,-0.15513743514246217,1
X14146,Haemophilus,-0.18254739912493922,0.045979989204387284,0.4659009662125814,-0.15513743514246217,-1
X14307,Haemophilus,-0.19149615975422427,0.03240951462718833,0.4569904424316103,-0.15513743514246217,-1
X1766,Haemophilus,0.20282209696766454,0.024456783516834113,0.39214705456135157,-0.15513743514246217,1
X20709,Haemophilus,-0.21032527184101987,0.01762408816372396,0.34734138457634944,-0.15513743514246217,-1
X268,Haemophilus,-0.20600957868488162,0.03777480696369073,0.4623938346444463,-0.15513743514246217,-1
X686,Haemophilus,-0.31151319832306873,3.089362417116881e-4,0.09631945491588853,-0.15513743514246217,-1
X709,Haemophilus,-0.34838484135390524,4.2478441957261026e-5,0.02979862703301861,-0.15513743514246217,-1
X711,Haemophilus,-0.34890139992590774,4.130615312369912e-5,0.02979862703301861,-0.15513743514246217,-1
X10574,Actinomyces,-0.18468741535643807,0.040855270313750136,0.4623938346444463,-0.22271816384941592,-1
X10604,Actinomyces,-0.19211650761999716,0.0363346658421948,0.4623938346444463,-0.22271816384941592,-1
X10696,Actinomyces,-0.18700040644899066,0.039994382613495194,0.4623938346444463,-0.22271816384941592,-1
X12426,Actinomyces,0.21931758530183726,0.013609181556762273,0.3294163403568749,-0.22271816384941592,1
X12435,Actinomyces,0.19155525816274974,0.02901879304603039,0.4265712436585445,-0.22271816384941592,1
X1767,Actinomyces,0.1829041069163984,0.03372553183231064,0.461628499129091,-0.22271816384941592,1
X2118,Actinomyces,0.20327496159754224,0.022987417255082132,0.383944600105717,-0.22271816384941592,1
X266,Actinomyces,-0.1793641607706237,0.035975281993946506,0.4623938346444463,-0.22271816384941592,-1
X7268,Actinomyces,-0.1778547454116975,0.04054837382892629,0.4623938346444463,-0.22271816384941592,-1
X853,Actinomyces,-0.2206187109564957,0.010420206693501965,0.3294163403568749,-0.22271816384941592,-1
X1286,Corynebacterium,0.19190632636877114,0.007196244821795705,0.32051845984061506,0.11139669956354316,1
X1287,Corynebacterium,0.17133308517697324,0.016625344613223625,0.34652039676928437,0.11139669956354316,1
X14987,Corynebacterium,0.18396339889864277,0.011061524628976027,0.3294163403568749,0.11139669956354316,1
X266,Corynebacterium,0.23227666701198246,0.0010218174096643384,0.1592899806398963,0.11139669956354316,1
X268,Corynebacterium,0.18558065610115357,0.016022594784245392,0.3432015340808593,0.11139669956354316,1
X293,Corynebacterium,0.2106875228756911,0.004095340574588047,0.27151856930866985,0.11139669956354316,1
X315,Corynebacterium,0.17274076245259862,0.024283874694869922,0.39161237007933913,0.11139669956354316,1
X10350,Staphylococcus,0.16751786444440117,0.010763449825505145,0.3294163403568749,0.24321012610514892,1
